occupational_group,% of Essential Workers,% of Vital Workers,% of Indoor Essential Workers,% of Indoor Vital Workers
Food,0.4587649351945535,0.6899328321250452,0.05174888535543961,0.07107552944217702
Health,0.05981753117559383,0.051410025191670414,0.12491216642103249,0.17395460433352863
Retail,0.17184699886559557,0.01950120725123382,0.269873175589617,0.0521217443712201
Security,0.023447819841678017,0.02890296434030125,0.04999776853543932,0.10042531056463012
Transport,0.07572912780532894,0.0954690741231078,0.13211767800977314,0.2714021797752887
Manual,0.12786856295212012,0.0927615947260496,0.22077572041665874,0.2629159736497036
Cleaning,0.03945465889643943,0.005223570455773438,0.06408362349596755,0.011343531218392634
Tech,0.03930199067414252,0.014476187574551849,0.07845567987482593,0.0486912892031006
ArmedForces,0.003768374594548096,0.00232254421226665,0.008035302301246371,0.008069837441958784
