Share,column,n,Spearman ρ,Spearman p,Pearson r (log GDP),Pearson p (log GDP)
%Essential Workers (% of labour force),%Essential Workers,199.0,-0.7845894681573575,9.1512172139399e-43,-0.7304270032676494,1.8552979432240474e-34
%Indoor Essential Workers (% of labour force),%Indoor Essential Workers,199.0,0.03334215326109333,0.6401307832180161,0.12497114741630165,0.07862330400754339
%Vital Workers (% of labour force),%Vital Workers,199.0,-0.7415261687023712,5.45631168303734e-36,-0.6517402933034563,1.9138404275467302e-25
%Indoor Vital Workers (% of labour force),%Indoor Vital Workers,199.0,0.37539827487795957,4.670470013804032e-08,0.41612615782410667,9.795597253174051e-10
Food % of Essential Workers,Food % of Essential Workers,144.0,-0.7911421911421911,4.0422921465569266e-32,-0.7901429961697177,5.459133649576071e-32
Food % of Indoor Essential Workers,Food % of Indoor Essential Workers,144.0,-0.11728168684364779,0.1615280986333754,-0.22998911644279071,0.005552663517863759
Food % of Vital Workers,Food % of Vital Workers,144.0,-0.8323084961015995,3.285524724172609e-38,-0.8230560569016396,1.0503006405835351e-36
Food % of Indoor Vital Workers,Food % of Indoor Vital Workers,144.0,-0.5193815584864647,2.558024654423909e-11,-0.49831850838566205,2.0754534191369074e-10
