Country Name,Country Code,Region,occupational_group,Essential Workers,Vital Workers,Indoor Essential Workers,Indoor Vital Workers,% of Essential Workers,% of Vital Workers,% of Indoor Essential Workers,% of Indoor Vital Workers
Afghanistan,AFG,Southern Asia,Food,4026419.0100705107,4026419.0100705107,578902.9299651341,578902.9299651341,0.6662803105804358,0.8459742313641114,0.29362031298119423,0.6090520296926366
Afghanistan,AFG,Southern Asia,Health,72316.84108556372,40251.081830880816,67754.13245673024,37717.37088074837,0.01196678418668643,0.008456988189328322,0.03436498339870656,0.03968168081473224
Afghanistan,AFG,Southern Asia,Retail,753792.5124573184,57984.03941979373,695808.4730375247,53523.728695194215,0.12473543067850604,0.012182786505045663,0.3529149552595105,0.05631122924268045
Afghanistan,AFG,Southern Asia,Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,Southern Asia,Transport,373478.80164686014,305573.56498379464,77336.51953293568,63275.334163311025,0.06180220472188791,0.06420279685641313,0.03922518248699214,0.06657069554642857
Afghanistan,AFG,Southern Asia,Manual,635100.4048072014,281694.0307855579,395426.45680010587,172263.56918420142,0.10509459991777963,0.059185566772271284,0.20056080906981158,0.1812350068085762
Afghanistan,AFG,Southern Asia,Cleaning,36911.94156680029,3866.649709582132,24090.789621066015,1852.7696525081049,0.006108082598890748,0.0008124057649828961,0.012218879577837913,0.0019492613683626458
Afghanistan,AFG,Southern Asia,Tech,41993.97096714687,2470.2335863027574,29167.28307026981,1715.7225335452827,0.006949042299998092,0.0005190105536049741,0.014793683604986252,0.001805076874473727
Afghanistan,AFG,Southern Asia,ArmedForces,103117.2330021567,41246.89320086268,103117.2330021567,41246.89320086268,0.017063545015815175,0.008666213994242576,0.052301193620960786,0.04339501965210961
Angola,AGO,Middle Africa,Food,6959286.560660433,6938296.083767504,577072.3225437246,563953.2744856448,0.5582533036016764,0.8215141951089535,0.12259742358667453,0.3767247902152736
Angola,AGO,Middle Africa,Health,264872.2749970955,136509.1760299205,235529.70915476978,122857.74789041009,0.02124726741178881,0.016163078732482128,0.05003763721193835,0.0820698476173381
Angola,AGO,Middle Africa,Retail,2885743.523061134,209553.4149919683,2514640.979903619,193433.9215310476,0.23148577674650853,0.024811726535022855,0.5342285417930356,0.12921523254876768
Angola,AGO,Middle Africa,Security,398023.8810330245,318419.1048264197,325052.83617697004,260042.268941576,0.03192829387930248,0.03770173706204077,0.06905657867834833,0.17371008139542707
Angola,AGO,Middle Africa,Transport,588691.8188814804,481656.9427212113,121900.83118252877,99737.04369479629,0.04722310970087118,0.05702956617028601,0.025897495430340665,0.06662505310725016
Angola,AGO,Middle Africa,Manual,645336.0812504955,265070.335539732,397676.19952344237,181487.63023734998,0.05176694423361413,0.031385089468528374,0.08448521195472909,0.12123502517152807
Angola,AGO,Middle Africa,Cleaning,303748.05396508065,15438.171904329622,217808.44775378008,7397.457370824611,0.024365766966275716,0.0018279239186132132,0.046272804095543824,0.004941554029794481
Angola,AGO,Middle Africa,Tech,356223.90159860416,55095.88350259353,253115.04395081947,42378.89459564976,0.02857522364626227,0.006523510937410506,0.053773593095945316,0.02830940238916502
Angola,AGO,Middle Africa,ArmedForces,64254.60740077748,25701.842960310994,64254.60740077748,25701.842960310994,0.0051543138137005624,0.0030431720666627194,0.01365071415344429,0.0171690135254557
Albania,ALB,Southern Europe,Food,446279.68945026805,442744.19934909383,145759.06786980314,143549.38655656928,0.5730982181560339,0.7836170622846602,0.3796032049310224,0.6489722666324916
Albania,ALB,Southern Europe,Health,39647.72964371011,22094.755990260855,35897.49949364468,20211.120163550375,0.05091435651201532,0.0391057134264859,0.09348856339400574,0.09137243131688388
Albania,ALB,Southern Europe,Retail,99995.26038906735,7630.651496445978,91567.81795735173,7043.678304411671,0.12841074085987336,0.013505560813114879,0.23847186780996316,0.03184375763837046
Albania,ALB,Southern Europe,Security,28544.135732986066,22835.30858638885,23311.044181938618,18648.835345550895,0.036655473493604374,0.040416424330656404,0.060709410474940315,0.08430949957065098
Albania,ALB,Southern Europe,Transport,38966.110111066926,31881.362818145666,8068.739972493656,6601.6963411311735,0.05003904233381611,0.056427119564559994,0.021013578078377556,0.029845601857970878
Albania,ALB,Southern Europe,Manual,77359.68499953067,32625.562184296956,44052.235081851795,21241.00221970466,0.09934285309948797,0.05774428492079714,0.11472610154438379,0.09602842399215171
Albania,ALB,Southern Europe,Cleaning,20215.1122122091,1025.2757317849225,14498.2301520862,491.2779548136087,0.025959605741664248,0.0018146450211074924,0.03775802570633535,0.002221017975275854
Albania,ALB,Southern Europe,Tech,25335.103251918696,3215.0693729925524,18451.487911973287,2459.4227523295813,0.032534535793818035,0.005690381084178432,0.04805357258038658,0.011118801664525864
Albania,ALB,Southern Europe,ArmedForces,2371.3200779747167,948.5280311898867,2371.3200779747167,948.5280311898867,0.003045174009686542,0.001678808554439377,0.006175675480585112,0.0042881993516786995
United Arab Emirates,ARE,Western Asia,Food,194680.03032420142,122268.05602722833,95754.06773195216,50496.583796344,0.0810254904846975,0.11696297997997006,0.0630381605873267,0.09075801585649242
United Arab Emirates,ARE,Western Asia,Health,166024.78895933047,90233.3305057087,150568.04854306628,82572.2665790744,0.06909922879941036,0.08631820585349723,0.09912406906773094,0.1484079618081557
United Arab Emirates,ARE,Western Asia,Retail,322627.46585976146,24731.86261381922,296782.35136583063,22829.411643525433,0.13427699092500334,0.02365877438276534,0.19538191920217265,0.04103153021784189
