Region,occupational_group,% of Essential Workers,% of Vital Workers,% of Indoor Essential Workers,% of Indoor Vital Workers
Western Asia,Food,0.24047033894326234,0.40234110000545154,0.043510491992263985,0.02468843548389237
Western Asia,Health,0.09278986971347443,0.08704523940553911,0.13435443347114343,0.15603763198658943
Western Asia,Retail,0.17110367603941007,0.023781359636359193,0.18848706266449877,0.033244854309105724
Western Asia,Security,0.08257791122292676,0.12188095902256628,0.1207510015836751,0.221496551249898
Western Asia,Transport,0.12458716223832941,0.1880637538588388,0.149056172988176,0.27963146026784574
Western Asia,Manual,0.15553163254739863,0.1286350075545835,0.19247307907186792,0.203573959559429
Western Asia,Cleaning,0.059757626208900926,0.0064930520428158065,0.06852946238566471,0.007374965735539573
Western Asia,Tech,0.060031107776228776,0.03205465161967965,0.08360848981255209,0.05631528680184843
Western Asia,ArmedForces,0.013150675310068626,0.009704876854166208,0.019229806030158055,0.017636854605851734
Western Europe,Food,0.08367160659663038,0.12578438350840876,0.029636774739559262,0.004499488427870331
Western Europe,Health,0.2865256162838513,0.3343573453564262,0.3335797413924223,0.40147081500655
Western Europe,Retail,0.14436814805348544,0.023054097919555885,0.13237865768851065,0.021946508092022924
Western Europe,Security,0.034592509921715156,0.05747093455623405,0.041250395044762314,0.07112281014439496
Western Europe,Transport,0.08941362781019249,0.15192517264673255,0.08723677020131752,0.15382970641623236
Western Europe,Manual,0.18112017335806765,0.20310164080871793,0.18656113916508052,0.22477400952471224
Western Europe,Cleaning,0.06479511783204431,0.005483396774603889,0.06176447179401377,0.0042412154808982045
Western Europe,Tech,0.11002941223905124,0.0942677299482397,0.1210528188536866,0.11247806461098682
Western Europe,ArmedForces,0.005483787904961962,0.004555298481080997,0.006539231120647015,0.005637382296332098
