Country Name,Country Code,Region,occupational_group,occupancy_group,occupancy_category,Essential Workers,Vital Workers,Indoor Essential Workers,Indoor Vital Workers,Scaled ECA (L/s/person),Indoor Essential CADR Requirement (L/s),Indoor Vital CADR Requirement (L/s)
Bolivia,BOL,South America,Transport,Commercial/Retail,Transportation waiting,424385.45333512744,347224.46181964973,87877.79589262742,71900.0148212406,171.0,15027103.097639289,12294902.534432143
Bolivia,BOL,South America,Manual,Industrial,Manufacturing,494369.99213662394,182896.33433450502,304375.2219526348,122422.18833270826,142.5,43373469.12825046,17445161.837410927
Bolivia,BOL,South America,Cleaning,Commercial/Retail,Office,138388.2465818052,7436.280698694297,98753.07872907477,3563.217834791017,85.5,8443388.231335893,304655.124874632
Bolivia,BOL,South America,Tech,Commercial/Retail,Office,192055.32808900045,34332.109544505685,139546.94993588567,26695.688862169853,85.5,11931264.219518226,2282481.3977155224
Bolivia,BOL,South America,ArmedForces,Correctional facilities,Dayroom,2131.219808055524,852.4879232222096,2131.219808055524,852.4879232222096,114.0,242959.05811832973,97183.6232473319
Brazil,BRA,South America,Food,Industrial,Manufacturing,6412755.517212726,5680832.273963518,2830035.22833846,2372583.201307705,142.5,403280020.03823054,338093106.18634796
Brazil,BRA,South America,Health,Health care,Patient room,5594000.968453916,3050230.267505642,4894008.649415073,2720792.940630301,199.5,976354725.558307,542798191.655745
Brazil,BRA,South America,Retail,Commercial/Retail,Retail,10241405.30145433,770894.4171183566,9250733.005420279,711594.8465707907,114.0,1054583562.6179118,81121812.50907014
Brazil,BRA,South America,Security,Commercial/Retail,Office,1354440.7987694875,1083552.6390155898,1106126.6523284146,884901.3218627318,85.5,94573828.77407944,75659063.01926357
Brazil,BRA,South America,Transport,Commercial/Retail,Transportation waiting,5610995.248495312,4590814.294223439,1161872.7534763021,950623.1619351564,171.0,198680240.84444767,162556560.69091174
Brazil,BRA,South America,Manual,Industrial,Manufacturing,6362458.486620109,3022295.5670406236,3897573.216685414,1998241.1069837199,142.5,555404183.3776715,284749357.7451801
Brazil,BRA,South America,Cleaning,Commercial/Retail,Office,3652042.820235046,99957.90175150453,2721083.588646295,47896.49458926259,85.5,232652646.82925823,4095150.2873819517
Brazil,BRA,South America,Tech,Commercial/Retail,Office,2387148.216962975,576223.2689609638,1726655.9921253542,452569.31817938737,85.5,147629087.3267178,38694676.70433762
Brazil,BRA,South America,ArmedForces,Correctional facilities,Dayroom,347588.45007748826,139035.38003099535,347588.45007748826,139035.38003099535,114.0,39625083.30883366,15850033.32353347
Barbados,BRB,Caribbean,Food,Industrial,Manufacturing,4576.727250354397,3893.5392157472447,2316.566217655194,1889.5736960257236,142.5,330110.6860158652,269264.2516836656
Barbados,BRB,Caribbean,Health,Health care,Patient room,6721.588522297189,3576.818769208644,6002.1275007816785,3233.971128223305,199.5,1197424.4364059449,645177.2400805494
Barbados,BRB,Caribbean,Retail,Commercial/Retail,Retail,11706.10820845434,796.8015229770036,9561.618275724044,735.5090981326186,114.0,1090024.483432541,83848.03718711852
Barbados,BRB,Caribbean,Security,Commercial/Retail,Office,5464.253249729913,4371.402599783932,4462.473487279429,3569.9787898235436,85.5,381541.4831623912,305233.186529913
Barbados,BRB,Caribbean,Transport,Commercial/Retail,Transportation waiting,5001.67477848763,4092.2793642171514,1035.7003329191555,847.3911814793091,171.0,177104.75692917558,144903.89203296186
Barbados,BRB,Caribbean,Manual,Industrial,Manufacturing,7446.220658969224,3169.0114936872315,4163.464739961504,2036.7870218095438,142.5,593293.7254445143,290242.15060786
Barbados,BRB,Caribbean,Cleaning,Commercial/Retail,Office,4923.6870196023065,949.972219986509,2694.84530804013,455.19502207686895,85.5,230409.27383743113,38919.1743875723
Barbados,BRB,Caribbean,Tech,Commercial/Retail,Office,6199.063234217326,1158.6678916698586,4655.637230412984,907.5431959363749,85.5,398056.9832003101,77594.94325256006
Barbados,BRB,Caribbean,ArmedForces,Correctional facilities,Dayroom,0.0,0.0,0.0,0.0,114.0,0.0,0.0
Brunei Darussalam,BRN,South-eastern Asia,Food,Industrial,Manufacturing,5797.546229848009,3344.6716078110603,2717.058656293576,1184.012017520483,142.5,387180.8585218346,168721.71249666883
Brunei Darussalam,BRN,South-eastern Asia,Health,Health care,Patient room,7319.2671629896795,4252.152787013942,6636.444162656799,3898.3998905086974,199.5,1323970.6104500312,777730.7781564852
Brunei Darussalam,BRN,South-eastern Asia,Retail,Commercial/Retail,Retail,15089.547458627532,1160.7344198944256,13928.813038733108,1071.4471568256236,114.0,1587884.6864155743,122144.97587812108
Brunei Darussalam,BRN,South-eastern Asia,Security,Commercial/Retail,Office,9636.074180275218,7708.859344220175,7869.460580558095,6295.568464446475,85.5,672838.8796377172,538271.1037101736
Brunei Darussalam,BRN,South-eastern Asia,Transport,Commercial/Retail,Transportation waiting,5731.687624654615,4689.56260199014,1186.8646091456526,971.0710438464431,171.0,202953.8481639066,166053.14849774176
Brunei Darussalam,BRN,South-eastern Asia,Manual,Industrial,Manufacturing,10935.713140388503,5529.597310312479,6526.656367687823,3547.35473923523,142.5,930048.5323955148,505498.0503410203
Brunei Darussalam,BRN,South-eastern Asia,Cleaning,Commercial/Retail,Office,6481.840916480591,317.64070216846613,4662.027651894792,152.20283645572334,85.5,398603.3642370047,13013.342516964345
