Country Name,Country Code,Group,Global overlap,Calibrated overlap,Adjustment,Group essential mass S_g,Overlap source,calibration_x,ILO %essential (published),Model %Essential (pct),Calibrated %Essential (pct),Delta model (pp),Delta calibrated (pp),solver_status
Aruba,ABW,Food,0.895,0.8141585769948451,-0.08084142300515496,,neighbour_backfill,0.09032561229626258,,,,,,
Aruba,ABW,Health,0.819,0.745023323529361,-0.07397667647063899,,neighbour_backfill,0.09032561229626258,,,,,,
Aruba,ABW,Retail,0.876,0.796874763628474,-0.07912523637152602,,neighbour_backfill,0.09032561229626258,,,,,,
Aruba,ABW,Security,0.846,0.7695845319973619,-0.0764154680026381,,neighbour_backfill,0.09032561229626258,,,,,,
Aruba,ABW,Transport,0.869,0.7905070429145479,-0.07849295708545212,,neighbour_backfill,0.09032561229626258,,,,,,
Aruba,ABW,Manual,0.335,0.3047409198807521,-0.03025908011924794,,neighbour_backfill,0.09032561229626258,,,,,,
Aruba,ABW,Cleaning,0.485,0.44119207803631266,-0.043807921963687324,,neighbour_backfill,0.09032561229626258,,,,,,
Aruba,ABW,Tech,0.32,0.291095804065196,-0.028904195934804033,,neighbour_backfill,0.09032561229626258,,,,,,
Aruba,ABW,ArmedForces,0.4,0.4,0.0,,neighbour_backfill,0.09032561229626258,,,,,,
Afghanistan,AFG,Food,0.895,0.8727991902222533,-0.022200809777746744,3753097.0,ilo_calibrated,0.024805374053348365,64.02,67.84471926955803,66.18982163859317,3.824719269558031,2.1698216385931772,ok
Afghanistan,AFG,Health,0.819,0.7986843986503076,-0.020315601349692347,73663.0,ilo_calibrated,0.024805374053348365,64.02,67.84471926955803,66.18982163859317,3.824719269558031,2.1698216385931772,ok
Afghanistan,AFG,Retail,0.876,0.8542704923292668,-0.021729507670733228,717863.0,ilo_calibrated,0.024805374053348365,64.02,67.84471926955803,66.18982163859317,3.824719269558031,2.1698216385931772,ok
Afghanistan,AFG,Security,0.846,0.8250146535508672,-0.020985346449132747,0.0,ilo_calibrated,0.024805374053348365,64.02,67.84471926955803,66.18982163859317,3.824719269558031,2.1698216385931772,ok
Afghanistan,AFG,Transport,0.869,0.8474441299476403,-0.021555870052359705,358542.0,ilo_calibrated,0.024805374053348365,64.02,67.84471926955803,66.18982163859317,3.824719269558031,2.1698216385931772,ok
Afghanistan,AFG,Manual,0.335,0.3266901996921283,-0.008309800307871706,1581581.0,ilo_calibrated,0.024805374053348365,64.02,67.84471926955803,66.18982163859317,3.824719269558031,2.1698216385931772,ok
Afghanistan,AFG,Cleaning,0.485,0.47296939358412604,-0.012030606415873946,63492.0,ilo_calibrated,0.024805374053348365,64.02,67.84471926955803,66.18982163859317,3.824719269558031,2.1698216385931772,ok
Afghanistan,AFG,Tech,0.32,0.31206228030292854,-0.007937719697071466,109479.0,ilo_calibrated,0.024805374053348365,64.02,67.84471926955803,66.18982163859317,3.824719269558031,2.1698216385931772,ok
