iso3,mva_year,mva_usd
TMN,2024,288882959633.624
TON,2024,35867849.2179694
TSA,2024,612612661939.993
TSS,2024,197662459364.728
TTO,2024,3685839620.99654
TUN,2024,7606365347.79321
TUR,2024,228910150844.692
TUV,2011,402284.563722391
TZA,2023,6637421604.27017
UGA,2024,8145653102.80828
UKR,2024,16069128966.4848
URY,2024,8248515826.57029
USA,2021,2497131582000.0
UZB,2024,24213633095.2847
VCT,2024,43544444.4444444
VNM,2024,115904447328.948
VUT,2024,52548986.6991147
WLD,2024,16622489847772.4
WSM,2024,61307987.1307222
XKX,2024,1414096528.62734
ZAF,2024,51335732752.5016
ZMB,2024,2289580412.20696
ZWE,2024,6465422918.06824
