week,pac,cr_box,baghouse,repurposed_pac,repurposed_cr_box,repurposed_baghouse
1,0.0,0.0,0.0,0.0,0.0,0.0
2,19859721.58268159,165406412.0739603,5103303.596606882,0.0,0.0,0.0
3,106605970.47057572,891621566.0537995,27588676.440615077,103126092.55684254,60322210.33467729,20458866.9377912
4,199632218.8198421,1683077317.572268,51855317.43050614,206252185.11368507,120644420.66935457,40917733.8755824
5,240397017.21242577,2035334120.896908,62708924.41589721,309378277.67052764,180966631.0040319,61376600.813373595
6,289638151.7163006,2452265326.5513754,75419889.38797076,412504370.22737014,241288841.33870915,81835467.7511648
7,345280142.11139846,2921138932.808712,90280725.829115,515630462.7842127,301611051.6733865,81835467.7511648
8,406248634.8878113,3449294360.675894,106327889.20246832,618756555.3410553,361933262.0080638,81835467.7511648
9,475535185.65943646,4012657228.9236917,124116481.28990194,721882647.897898,422255472.3427411,81835467.7511648
10,548142721.5998319,4618253940.115355,143523045.0833025,825008740.4547403,482577682.6774183,81835467.7511648
11,622355951.5201685,5292617377.256519,163825001.80706972,928134833.0115829,542899893.0120957,81835467.7511648
12,695419327.4607532,5927389514.859544,184799671.0490998,1031260925.5684254,603222103.346773,81835467.7511648
13,766664290.8670332,6559210573.900476,204706464.1453026,1134387018.125268,663544313.6814501,81835467.7511648
14,839265928.011975,7191053176.72655,224539456.31320006,1237513110.6821105,723866524.0161276,81835467.7511648
15,912255670.7111061,7792702887.729483,244440359.7847404,1237513110.6821105,723866524.0161276,81835467.7511648
16,982823016.6742222,8419333652.066494,263835890.47169518,1237513110.6821105,723866524.0161276,81835467.7511648
17,1055054456.7773998,9037935412.614338,283296512.91714346,1237513110.6821105,723866524.0161276,81835467.7511648
18,1130572959.6457705,9661033652.666824,303484666.1848372,1237513110.6821105,723866524.0161276,81835467.7511648
19,1204593520.0252862,10276921597.467285,323124396.9293188,1237513110.6821105,723866524.0161276,81835467.7511648
20,1277188947.3547773,10896814467.783009,343073893.43621206,1237513110.6821105,723866524.0161276,81835467.7511648
21,1347926687.8246746,11513872569.732029,363023007.7084736,1237513110.6821105,723866524.0161276,81835467.7511648
22,1418518090.0972152,12139638156.102009,383512281.8244616,1237513110.6821105,723866524.0161276,81835467.7511648
23,1492390676.096037,12749393105.848969,402914579.5689113,1237513110.6821105,723866524.0161276,81835467.7511648
24,1567045413.774646,13351191552.052402,422135037.6606368,1237513110.6821105,723866524.0161276,81835467.7511648
25,1643010035.3588307,13967815024.905958,441670730.9755,1237513110.6821105,723866524.0161276,81835467.7511648
26,1715727873.4861977,14585804894.5267,461563250.68671495,1237513110.6821105,723866524.0161276,81835467.7511648
