region,week,coverage_median,coverage_lower,coverage_upper,interval_percent
Australia and New Zealand,1,0.0,0.0,0.0,50.0
Australia and New Zealand,2,0.0017249673673166582,0.001386458560997048,0.0021006402658655596,50.0
Australia and New Zealand,3,0.011568992230917775,0.00961873529014879,0.013870792085998515,50.0
Australia and New Zealand,4,0.022091747935327578,0.018326849761485235,0.02636814565605663,50.0
Australia and New Zealand,5,0.028000418583063548,0.023239113298206972,0.033509842003778906,50.0
Australia and New Zealand,6,0.03466618782164239,0.028569910007714364,0.041399775118252026,50.0
Australia and New Zealand,7,0.04166908776732087,0.03410018631462831,0.04982757280720879,50.0
Australia and New Zealand,8,0.049165756120802165,0.04023270920574438,0.05925025822887392,50.0
Australia and New Zealand,9,0.05782061362456911,0.046533051814596334,0.06936246907662458,50.0
Australia and New Zealand,10,0.06638646507946377,0.05347859129222508,0.07949847081282685,50.0
Australia and New Zealand,11,0.07527364750671588,0.060108339047351224,0.08991156770200781,50.0
Australia and New Zealand,12,0.0838401217571573,0.06656929804776293,0.10038950251215079,50.0
Australia and New Zealand,13,0.09254200059952783,0.07300951611873191,0.1116240843741382,50.0
Australia and New Zealand,14,0.10113874311657584,0.07972861130213968,0.12214434844322879,50.0
Australia and New Zealand,15,0.10765559868901659,0.08433883865203282,0.12986104639035267,50.0
Australia and New Zealand,16,0.11435324052980173,0.08905454006914382,0.13865576279559566,50.0
Australia and New Zealand,17,0.12137457233520157,0.09378597372783787,0.14721399604427365,50.0
Australia and New Zealand,18,0.12807498208608628,0.09882644096382392,0.15523469425948705,50.0
Australia and New Zealand,19,0.13433209775298843,0.10348051080234749,0.16339918811421106,50.0
Australia and New Zealand,20,0.14075377926818006,0.10829380569329948,0.17146401163992037,50.0
Australia and New Zealand,21,0.14691599515794457,0.11288666838815305,0.1803741083898124,50.0
Australia and New Zealand,22,0.1532042816073539,0.1175215488600486,0.18889574497475084,50.0
Australia and New Zealand,23,0.159851734021425,0.12216978827240037,0.1970026927895704,50.0
Australia and New Zealand,24,0.16648419444818463,0.12681258845349513,0.20537118391404025,50.0
Australia and New Zealand,25,0.1730555107837405,0.1318110721741502,0.21317901006187978,50.0
Australia and New Zealand,26,0.1796553419779493,0.13675149079468982,0.22164833562048677,50.0
Caribbean,1,0.0,0.0,0.0,50.0
Caribbean,2,0.00019174894856931315,0.00015412000037987007,0.00023350909120597926,50.0
Caribbean,3,0.0012467839965652748,0.0010328167367015379,0.0014864102054760393,50.0
Caribbean,4,0.0023753176519578857,0.0019688977734459404,0.0028292911382291953,50.0
Caribbean,5,0.002986393393551516,0.002477271276290168,0.0035832476319281326,50.0
Caribbean,6,0.0036887881088892745,0.0030395423408047855,0.004385606613378201,50.0
Caribbean,7,0.004419389169947993,0.003617323366599768,0.005286637624764496,50.0
Caribbean,8,0.005244978479789556,0.0042498240599092635,0.006272972523980888,50.0
