week,pac,cr_box,baghouse,repurposed_pac,repurposed_cr_box,repurposed_baghouse
1,0.0,0.0,0.0,0.0,0.0,0.0
2,19859721.58268159,165406412.0739603,5103303.596606882,0.0,0.0,0.0
3,99807831.54373312,831273250.4229798,25647371.92140895,103126092.55684254,60322210.33467729,20458866.9377912
4,180265165.13510984,1501381278.8251781,46322294.18458556,206252185.11368507,120644420.66935457,40917733.8755824
5,201652557.6087669,1679511261.0586736,51818159.59631604,309378277.67052764,180966631.0040319,61376600.813373595
6,223549173.71274918,1861882433.345348,57444878.94642106,412504370.22737014,241288841.33870915,81835467.7511648
7,245955013.4470566,2048494795.6852002,63202452.23490062,515630462.7842127,301611051.6733865,81835467.7511648
8,268870076.81168926,2239348348.078232,69090879.46175471,618756555.3410553,361933262.0080638,81835467.7511648
9,292294363.80664694,2434443090.524441,75110160.62698334,721882647.897898,422255472.3427411,81835467.7511648
10,316227874.43192995,2633779023.0238295,81260295.73058653,825008740.4547403,482577682.6774183,81835467.7511648
11,340670608.687538,2837356145.5763955,87541284.77256422,928134833.0115829,542899893.0120957,81835467.7511648
12,365622566.57347137,3045174458.182141,93953127.75291647,1031260925.5684254,603222103.346773,81835467.7511648
13,391083748.0897298,3257233960.8410645,100495824.67164326,1134387018.125268,663544313.6814501,81835467.7511648
14,417054153.2363134,3473534653.553166,107169375.52874453,1237513110.6821105,723866524.0161276,81835467.7511648
15,443533782.0132222,3694076536.318447,113973780.32422039,1237513110.6821105,723866524.0161276,81835467.7511648
16,470013410.790131,3914618419.083727,120778185.11969623,1237513110.6821105,723866524.0161276,81835467.7511648
17,496493039.56703985,4135160301.849008,127582589.91517207,1237513110.6821105,723866524.0161276,81835467.7511648
18,522972668.3439486,4355702184.614288,134386994.71064794,1237513110.6821105,723866524.0161276,81835467.7511648
19,549452297.1208575,4576244067.379568,141191399.50612378,1237513110.6821105,723866524.0161276,81835467.7511648
20,575931925.8977662,4796785950.144849,147995804.30159962,1237513110.6821105,723866524.0161276,81835467.7511648
21,602411554.674675,5017327832.9101305,154800209.09707546,1237513110.6821105,723866524.0161276,81835467.7511648
22,628891183.4515839,5237869715.675411,161604613.89255133,1237513110.6821105,723866524.0161276,81835467.7511648
23,655370812.2284926,5458411598.440691,168409018.68802717,1237513110.6821105,723866524.0161276,81835467.7511648
24,681850441.0054015,5678953481.205972,175213423.48350304,1237513110.6821105,723866524.0161276,81835467.7511648
25,708330069.7823102,5899495363.971252,182017828.27897888,1237513110.6821105,723866524.0161276,81835467.7511648
26,734809698.5592191,6120037246.736532,188822233.07445472,1237513110.6821105,723866524.0161276,81835467.7511648
