,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Australia,1207629,2740542,0,(1.9+/-1.0)e+05,(4.2+/-2.2)e+05,(7+/-4)e+05,(1.1+/-0.6)e+06,(1.7+/-0.9)e+06,(2.9+/-1.5)e+06,(3.5+/-1.8)e+06,(3.9+/-2.1)e+06,(4.2+/-2.2)e+06,(4.5+/-2.3)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06,(4.6+/-2.4)e+06
Austria,542136,1225004,0,(1.5+/-0.8)e+05,(3.4+/-1.8)e+05,(5.7+/-3.0)e+05,(9+/-5)e+05,(1.4+/-0.7)e+06,(2.4+/-1.3)e+06,(2.9+/-1.5)e+06,(3.2+/-1.7)e+06,(3.5+/-1.8)e+06,(3.7+/-1.9)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06,(3.8+/-2.0)e+06
Azerbaijan,657654,1126921,0,(8+/-4)e+03,(1.8+/-0.9)e+04,(3.0+/-1.6)e+04,(4.8+/-2.5)e+04,(7+/-4)e+04,(1.3+/-0.7)e+05,(1.5+/-0.8)e+05,(1.7+/-0.9)e+05,(1.8+/-0.9)e+05,(1.9+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05,(2.0+/-1.0)e+05
Burundi,218725,465453,0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Belgium,505511,1170260,0,(1.4+/-0.7)e+05,(3.2+/-1.7)e+05,(5.3+/-2.8)e+05,(9+/-4)e+05,(1.3+/-0.7)e+06,(2.2+/-1.2)e+06,(2.7+/-1.4)e+06,(3.0+/-1.6)e+06,(3.2+/-1.7)e+06,(3.4+/-1.8)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06,(3.5+/-1.9)e+06
Benin,1251311,2602220,0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Burkina Faso,331481,1171465,0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Bangladesh,21138573,31172397,0,(1.5+/-0.8)e+05,(3.4+/-1.8)e+05,(5.6+/-2.9)e+05,(9+/-5)e+05,(1.4+/-0.7)e+06,(2.4+/-1.2)e+06,(2.8+/-1.5)e+06,(3.2+/-1.7)e+06,(3.4+/-1.8)e+06,(3.6+/-1.9)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06,(3.7+/-2.0)e+06
Bulgaria,395686,872086,0,(1.8+/-1.0)e+04,(4.2+/-2.2)e+04,(7+/-4)e+04,(1.1+/-0.6)e+05,(1.7+/-0.9)e+05,(2.9+/-1.5)e+05,(3.5+/-1.8)e+05,(3.9+/-2.1)e+05,(4.2+/-2.2)e+05,(4.4+/-2.3)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05
Bahrain,85700,210474,0,(1.8+/-1.0)e+04,(4.2+/-2.2)e+04,(7+/-4)e+04,(1.1+/-0.6)e+05,(1.7+/-0.9)e+05,(2.9+/-1.5)e+05,(3.5+/-1.8)e+05,(3.9+/-2.0)e+05,(4.2+/-2.2)e+05,(4.4+/-2.3)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05,(4.6+/-2.4)e+05
