Country Name,Country Code,Group,Global overlap,Calibrated overlap,Adjustment,Group essential mass S_g,Overlap source,calibration_x,ILO %essential (published),Model %Essential (pct),Calibrated %Essential (pct),Delta model (pp),Delta calibrated (pp),solver_status
Aruba,ABW,Food,0.895,0.8045869607743004,-0.09041303922569965,,neighbour_backfill,0.10102015555944094,,,,,,
Aruba,ABW,Health,0.819,0.7362644925968178,-0.08273550740318214,,neighbour_backfill,0.10102015555944094,,,,,,
Aruba,ABW,Retail,0.876,0.7875063437299297,-0.08849365627007033,,neighbour_backfill,0.10102015555944094,,,,,,
Aruba,ABW,Security,0.846,0.7605369483967129,-0.08546305160328704,,neighbour_backfill,0.10102015555944094,,,,,,
Aruba,ABW,Transport,0.869,0.7812134848188458,-0.08778651518115421,,neighbour_backfill,0.10102015555944094,,,,,,
Aruba,ABW,Manual,0.335,0.30115824788758727,-0.03384175211241275,,neighbour_backfill,0.10102015555944094,,,,,,
Aruba,ABW,Cleaning,0.485,0.43600522455367113,-0.04899477544632885,,neighbour_backfill,0.10102015555944094,,,,,,
Aruba,ABW,Tech,0.32,0.2876735502209789,-0.032326449779021105,,neighbour_backfill,0.10102015555944094,,,,,,
Aruba,ABW,ArmedForces,0.4,0.4,0.0,,neighbour_backfill,0.10102015555944094,,,,,,
Afghanistan,AFG,Food,0.895,0.8321475883510295,-0.06285241164897049,3775376.0,ilo_calibrated,0.07022615826700611,64.02,68.70961770298332,64.02000000000004,4.689617702983327,4.263256414560601e-14,ok
Afghanistan,AFG,Health,0.819,0.761484776379322,-0.05751522362067796,77736.0,ilo_calibrated,0.07022615826700611,64.02,68.70961770298332,64.02000000000004,4.689617702983327,4.263256414560601e-14,ok
Afghanistan,AFG,Retail,0.876,0.8144818853581027,-0.06151811464189727,782027.0,ilo_calibrated,0.07022615826700611,64.02,68.70961770298332,64.02000000000004,4.689617702983327,4.263256414560601e-14,ok
Afghanistan,AFG,Security,0.846,0.7865886701061129,-0.05941132989388709,84823.0,ilo_calibrated,0.07022615826700611,64.02,68.70961770298332,64.02000000000004,4.689617702983327,4.263256414560601e-14,ok
Afghanistan,AFG,Transport,0.869,0.8079734684659717,-0.06102653153402826,358542.0,ilo_calibrated,0.07022615826700611,64.02,68.70961770298332,64.02000000000004,4.689617702983327,4.263256414560601e-14,ok
Afghanistan,AFG,Manual,0.335,0.311474236980553,-0.023525763019447032,1581581.0,ilo_calibrated,0.07022615826700611,64.02,68.70961770298332,64.02000000000004,4.689617702983327,4.263256414560601e-14,ok
Afghanistan,AFG,Cleaning,0.485,0.45094031324050204,-0.03405968675949794,63492.0,ilo_calibrated,0.07022615826700611,64.02,68.70961770298332,64.02000000000004,4.689617702983327,4.263256414560601e-14,ok
Afghanistan,AFG,Tech,0.32,0.29752762935455807,-0.02247237064544194,176938.0,ilo_calibrated,0.07022615826700611,64.02,68.70961770298332,64.02000000000004,4.689617702983327,4.263256414560601e-14,ok
