week,pac,cr_box,baghouse,repurposed_pac,repurposed_cr_box,repurposed_baghouse
1,0.0,0.0,0.0,0.0,0.0,0.0
2,19859721.582681596,165171052.28759873,4877530.848548958,0.0,0.0,0.0
3,99807831.54373312,830090416.624855,24512719.136297323,102039260.20314202,60787693.03441067,20968109.754991278
4,180265165.13510984,1499244936.148973,44272972.31759824,204078520.40628403,121575386.06882134,41936219.509982556
5,201652557.6087669,1677121453.9971561,49525697.8468048,306117780.6094261,182363079.10323203,62904329.26497384
6,223549173.71274918,1859233127.032201,54903488.269563906,408157040.81256807,243150772.13764268,83872439.01996511
7,245955013.44705665,2045579955.2541072,60406343.58587555,510196301.01571023,303938465.1720534,83872439.01996511
8,268870076.8116892,2236161938.662875,66034263.79573973,612235561.2188522,364726158.20646405,83872439.01996511
9,292294363.80664706,2430979077.258504,71787248.89915645,714274821.4219943,425513851.24087477,83872439.01996511
10,316227874.43192995,2630031371.040995,77665298.89612572,816314081.6251361,486301544.27528536,83872439.01996511
11,340670608.687538,2833318820.010347,83668413.7866475,918353341.8282783,547089237.3096961,83872439.01996511
12,365622566.5734714,3040841424.166562,89796593.57072185,1020392602.0314205,607876930.3441068,83872439.01996511
13,391083748.0897298,3252599183.509637,96049838.24834871,1122431862.2345624,668664623.3785174,83872439.01996511
14,417054153.23631346,3468592098.039573,102428147.8195281,1224471122.4377043,729452316.4129281,83872439.01996511
15,443533782.0132222,3688820167.7563715,108931522.28426005,1224471122.4377043,729452316.4129281,83872439.01996511
16,470013410.7901311,3909048237.4731703,115434896.748992,1224471122.4377043,729452316.4129281,83872439.01996511
17,496493039.5670399,4129276307.189968,121938271.21372396,1224471122.4377043,729452316.4129281,83872439.01996511
18,522972668.34394866,4349504376.906767,128441645.6784559,1224471122.4377043,729452316.4129281,83872439.01996511
19,549452297.1208575,4569732446.623566,134945020.14318782,1224471122.4377043,729452316.4129281,83872439.01996511
20,575931925.8977664,4789960516.340364,141448394.6079198,1224471122.4377043,729452316.4129281,83872439.01996511
21,602411554.6746751,5010188586.057162,147951769.07265174,1224471122.4377043,729452316.4129281,83872439.01996511
22,628891183.4515839,5230416655.77396,154455143.5373837,1224471122.4377043,729452316.4129281,83872439.01996511
23,655370812.2284927,5450644725.490759,160958518.00211567,1224471122.4377043,729452316.4129281,83872439.01996511
24,681850441.0054016,5670872795.207558,167461892.4668476,1224471122.4377043,729452316.4129281,83872439.01996511
25,708330069.7823104,5891100864.924356,173965266.93157956,1224471122.4377043,729452316.4129281,83872439.01996511
26,734809698.5592191,6111328934.641155,180468641.39631152,1224471122.4377043,729452316.4129281,83872439.01996511
