week,pac,cr_box,baghouse,repurposed_pac,repurposed_cr_box,repurposed_baghouse
1,0.0,0.0,0.0,0.0,0.0,0.0
2,21496279.04175169,166717965.18821913,5104514.506356609,0.0,0.0,0.0
3,115479615.68656166,898087164.5273795,27443267.701782636,125885199.0921592,128755376.67921546,21108400.970952578
4,217709984.81863153,1696667753.3828547,52003272.74575508,251770398.1843184,257510753.35843092,42216801.941905156
5,262662558.35739863,2057334836.7281494,62815870.7332646,377655597.2764776,386266130.03764635,63325202.91285773
6,315997445.26716685,2447039296.478419,75939110.3066501,503540796.3686368,515021506.71686184,84433603.88381031
7,380167078.5156634,2924203158.582759,91270319.48504928,629425995.460796,643776883.3960773,84433603.88381031
8,446462669.70621455,3457324591.4100275,107346220.23907323,755311194.5529552,772532260.0752927,84433603.88381031
9,525092274.6040808,4053540471.1606383,125312493.48334083,881196393.6451144,901287636.7545083,84433603.88381031
10,606877688.9573472,4745434731.206943,145393202.02229005,1007081592.7372736,1030043013.4337237,84433603.88381031
11,689767965.2034019,5432989102.289004,164669785.14134094,1132966791.829433,1158798390.1129391,84433603.88381031
12,773011731.2855709,6081083507.287739,184223342.46641785,1258851990.921592,1287553766.7921546,84433603.88381031
13,855896303.9355944,6727510698.641893,204539748.59801272,1384737190.013751,1416309143.4713697,84433603.88381031
14,939443067.8918211,7397031287.272929,224356119.22433785,1510622389.1059103,1545064520.1505854,84433603.88381031
15,1025677678.3400545,8057440557.141731,245244223.3568513,1510622389.1059103,1545064520.1505854,84433603.88381031
16,1109933276.2931762,8714690173.917282,265170297.55403516,1510622389.1059103,1545064520.1505854,84433603.88381031
17,1194620921.52746,9397812475.125973,284239680.0357331,1510622389.1059103,1545064520.1505854,84433603.88381031
18,1279207965.045896,10067848910.023155,304286285.15022165,1510622389.1059103,1545064520.1505854,84433603.88381031
19,1363095273.4346032,10723916657.550596,324493008.26833963,1510622389.1059103,1545064520.1505854,84433603.88381031
20,1447402952.621045,11388479941.799896,344770958.28401554,1510622389.1059103,1545064520.1505854,84433603.88381031
21,1529729308.9849672,12059153520.759768,365174006.6105883,1510622389.1059103,1545064520.1505854,84433603.88381031
22,1612847867.7822678,12731414433.441061,384524216.25250554,1510622389.1059103,1545064520.1505854,84433603.88381031
23,1695926656.3682663,13410360494.431038,405217020.2978565,1510622389.1059103,1545064520.1505854,84433603.88381031
24,1779125332.1136837,14099474992.040497,425112324.08616984,1510622389.1059103,1545064520.1505854,84433603.88381031
25,1862927967.73525,14788589489.649956,445185009.36692166,1510622389.1059103,1545064520.1505854,84433603.88381031
26,1946730603.3568165,15474798478.026752,465171142.3025439,1510622389.1059103,1545064520.1505854,84433603.88381031
