region,week,coverage_median,coverage_lower,coverage_upper,interval_percent
Australia and New Zealand,1,0.0,0.0,0.0,50.0
Australia and New Zealand,2,0.0009879096986278619,0.0007969479290689498,0.0011941101249368005,50.0
Australia and New Zealand,3,0.0065725997886408654,0.005472750974634379,0.007906185437018865,50.0
Australia and New Zealand,4,0.01258241414938783,0.010457150805756356,0.0151065495587561,50.0
Australia and New Zealand,5,0.015933469314512224,0.013285081254736557,0.019322104482891015,50.0
Australia and New Zealand,6,0.019653903219185802,0.016423537934941116,0.023984185544813533,50.0
Australia and New Zealand,7,0.023606405674887775,0.01964915820305014,0.028959211307712986,50.0
Australia and New Zealand,8,0.027883680723035115,0.023189837397821336,0.03448852108616228,50.0
Australia and New Zealand,9,0.03265983549561124,0.02690260829090702,0.040259286515803086,50.0
Australia and New Zealand,10,0.037700911202291895,0.03091126773868763,0.04651487810576669,50.0
Australia and New Zealand,11,0.042766316728664516,0.03489086225839268,0.052886582747726785,50.0
Australia and New Zealand,12,0.04783225715431266,0.038839721842617386,0.05918369665072078,50.0
Australia and New Zealand,13,0.05302514332218207,0.042772484997398816,0.06571448885281292,50.0
Australia and New Zealand,14,0.05812822205930817,0.04670511476886961,0.0722900199157304,50.0
Australia and New Zealand,15,0.06217742988478693,0.04959193307979433,0.0771496210029077,50.0
Australia and New Zealand,16,0.06624298838829132,0.052528377466155934,0.08218238726167823,50.0
Australia and New Zealand,17,0.07017749743645471,0.055436915473658394,0.08710299671993496,50.0
Australia and New Zealand,18,0.0739813393181005,0.0581995434796587,0.09202839374013325,50.0
Australia and New Zealand,19,0.07796131789950114,0.06116977873061017,0.09695382744267284,50.0
Australia and New Zealand,20,0.08178426262271835,0.06429068903372875,0.10187121974866956,50.0
Australia and New Zealand,21,0.08569335106691506,0.06741155413405349,0.10703131136105802,50.0
Australia and New Zealand,22,0.08965555713513852,0.07022384222703709,0.11177823491342206,50.0
Australia and New Zealand,23,0.09345590552440737,0.07303143672235168,0.1170518840026056,50.0
Australia and New Zealand,24,0.09742323134526709,0.07601206785761448,0.1217924230773736,50.0
Australia and New Zealand,25,0.10121182780133448,0.07878344493387995,0.1266306585272573,50.0
Australia and New Zealand,26,0.10498349436639164,0.08183276480982135,0.13165042624655615,50.0
Caribbean,1,0.0,0.0,0.0,50.0
Caribbean,2,0.000161438498052136,0.00013023262842074395,0.00019513458097070733,50.0
Caribbean,3,0.0010431063976948122,0.0008626628813771783,0.001247251532484282,50.0
Caribbean,4,0.001983020909941779,0.0016464354793454036,0.002378823183351292,50.0
Caribbean,5,0.00250758543127341,0.002083790943901231,0.003005300250459468,50.0
Caribbean,6,0.0030698752554469445,0.002564169645891256,0.0037137923300587326,50.0
Caribbean,7,0.0036805583174149272,0.0030740013498210083,0.004507831614704235,50.0
Caribbean,8,0.0043519387119232995,0.0035935894506543805,0.0053568017474839285,50.0
Caribbean,9,0.005084992410345584,0.0041769059649707325,0.00625188031525591,50.0
Caribbean,10,0.0058767204586693805,0.004806631734865648,0.007249515895828217,50.0
Caribbean,11,0.00668770326368352,0.005432361355668566,0.00826083661024591,50.0
