region,week,coverage_median,coverage_lower,coverage_upper,interval_percent
Australia and New Zealand,1,0.0,0.0,0.0,90.0
Australia and New Zealand,2,0.0022215517399259794,0.0013562355282385017,0.0034496091601716812,90.0
Australia and New Zealand,3,0.016801698992280355,0.010277903161953124,0.026700797623616997,90.0
Australia and New Zealand,4,0.03228461634358326,0.019633543317050212,0.05128554909017802,90.0
Australia and New Zealand,5,0.04192033203075893,0.025706559594309997,0.06710776635813313,90.0
Australia and New Zealand,6,0.05231387659948357,0.03165119491095593,0.0845227429214198,90.0
Australia and New Zealand,7,0.06334148694743108,0.037623906066794034,0.10369115501312255,90.0
Australia and New Zealand,8,0.07502304383036577,0.04392311909458247,0.12341637798285245,90.0
Australia and New Zealand,9,0.0876417763237669,0.05103453188553555,0.14475118499404888,90.0
Australia and New Zealand,10,0.10064390801657444,0.058057531323647514,0.1676865873703286,90.0
Australia and New Zealand,11,0.1139741348431535,0.06546408162124867,0.19042077435658433,90.0
Australia and New Zealand,12,0.12708562002575835,0.07305908090362559,0.21203080287584575,90.0
Australia and New Zealand,13,0.1401105564797003,0.08029889745221123,0.23426621800919042,90.0
Australia and New Zealand,14,0.15317380375488004,0.08681757760510574,0.2556162439707894,90.0
Australia and New Zealand,15,0.16223687312189605,0.09136938926340003,0.27032589045546496,90.0
Australia and New Zealand,16,0.17087217366511248,0.09600024139065887,0.2848238232388912,90.0
Australia and New Zealand,17,0.17963900616495865,0.09968964855290305,0.3006119444970051,90.0
Australia and New Zealand,18,0.188613408139821,0.10385395234914883,0.3143534023483695,90.0
Australia and New Zealand,19,0.19710851555655418,0.10801351909516747,0.329030079129757,90.0
Australia and New Zealand,20,0.20528802454230627,0.11266725696451127,0.3458591500016932,90.0
Australia and New Zealand,21,0.21381612766292363,0.11670918596626738,0.3596004527747667,90.0
Australia and New Zealand,22,0.2221614009726911,0.12045294532095116,0.3755111819548521,90.0
Australia and New Zealand,23,0.22976342786426934,0.12464334853633195,0.38915351335918835,90.0
Australia and New Zealand,24,0.23837174900127617,0.12873526833868867,0.40398131047195424,90.0
Australia and New Zealand,25,0.2469263660050002,0.13237851077563131,0.4204738876517025,90.0
Australia and New Zealand,26,0.2552986690447232,0.13600803587334834,0.43442252262286946,90.0
Caribbean,1,0.0,0.0,0.0,90.0
Caribbean,2,0.0003396579292016791,0.00020735783135376513,0.0005274183278477665,90.0
Caribbean,3,0.0024833149910877383,0.0015179018935589414,0.003881688050144333,90.0
Caribbean,4,0.004746430229483867,0.0029233178753449935,0.007475549002223819,90.0
Caribbean,5,0.006133894800457372,0.0037617765114154487,0.009722985894123444,90.0
Caribbean,6,0.007660399652556833,0.0046051493488298255,0.012202294425885371,90.0
Caribbean,7,0.009231569965876,0.005489704334112693,0.014905814673679367,90.0
Caribbean,8,0.010924118918217124,0.006412274853096086,0.01788818713101198,90.0
Caribbean,9,0.012786910399516654,0.007440076880215425,0.020933793177323023,90.0
Caribbean,10,0.01472977129703002,0.008495042113674344,0.024199192639630343,90.0
Caribbean,11,0.01670214748027965,0.00952816407097077,0.027471953116767093,90.0
Caribbean,12,0.01861556945737592,0.010524755621248648,0.03068180572623364,90.0
Caribbean,13,0.020573128151749935,0.01155079829810622,0.03389761508959946,90.0
Caribbean,14,0.02249149804702201,0.012509886074613685,0.037115342707685885,90.0
Caribbean,15,0.023859947082589192,0.013172658954390775,0.03919979962273558,90.0
Caribbean,16,0.02510533984117356,0.013785437631616583,0.04153065170426404,90.0
Caribbean,17,0.02639418353428743,0.014399057611424364,0.043838154564686795,90.0
Caribbean,18,0.02765044288476452,0.015022068460058557,0.045802661834780364,90.0
Caribbean,19,0.028952541713942674,0.01565706405549152,0.04819889646683707,90.0
Caribbean,20,0.030300615739161384,0.0162616622959379,0.0505343595041527,90.0
Caribbean,21,0.03152230185006183,0.01684595688851022,0.05305600287893227,90.0
Caribbean,22,0.0329333774598261,0.017458487930883306,0.054994808959134084,90.0
Caribbean,23,0.03416762807801157,0.01804107003453458,0.05735052240648471,90.0
Caribbean,24,0.03547525969798153,0.01848750155860214,0.059817229070984586,90.0
