week,pac,cr_box,baghouse,repurposed_pac,repurposed_cr_box,repurposed_baghouse
1,0.0,0.0,0.0,0.0,0.0,0.0
2,33039397.844876923,164536639.61351836,5104514.506356609,0.0,0.0,0.0
3,166044153.27168912,826902086.26281,25653457.519125514,192608365.60904628,131196811.2493149,21108400.970952578
4,299896072.7458059,1493486421.1073205,46333285.51923691,385216731.21809256,262393622.4986298,42216801.941905156
5,335476962.73259646,1670679725.3064938,51830454.98762095,577825096.8271389,393590433.7479447,63325202.91285773
6,371905016.7666915,1852091917.7008858,57458509.44334746,770433462.4361851,524787244.9972596,84433603.88381031
7,409180234.8480911,2037722998.2904963,63217448.88641645,963041828.0452313,655984056.2465744,84433603.88381031
8,447302616.97679526,2227572967.0753255,69107273.31682792,1155650193.6542778,787180867.4958894,84433603.88381031
9,486272163.1528039,2421641824.055373,75127982.73458189,1348258559.2633238,918377678.7452043,84433603.88381031
10,526088873.3761171,2619929569.2306385,81279577.1396783,1540866924.8723702,1049574489.9945192,84433603.88381031
11,566752747.6467348,2822436202.601122,87562056.53211719,1733475290.4814167,1180771301.243834,84433603.88381031
12,608263785.9646573,3029161724.166825,93975420.91189858,1926083656.0904627,1311968112.4931488,84433603.88381031
13,650621988.329884,3240106133.9277463,100519670.27902246,2118692021.699509,1443164923.7424636,84433603.88381031
14,693827354.7424153,3455269431.8838854,107194804.63348877,2311300387.3085556,1574361734.9917789,84433603.88381031
15,737879885.2022514,3674651618.035243,114000823.97529759,2311300387.3085556,1574361734.9917789,84433603.88381031
16,781932415.6620872,3894033804.186601,120806843.31710641,2311300387.3085556,1574361734.9917789,84433603.88381031
17,825984946.1219232,4113415990.3379593,127612862.65891522,2311300387.3085556,1574361734.9917789,84433603.88381031
18,870037476.5817592,4332798176.489317,134418882.00072405,2311300387.3085556,1574361734.9917789,84433603.88381031
19,914090007.0415951,4552180362.640675,141224901.34253287,2311300387.3085556,1574361734.9917789,84433603.88381031
20,958142537.501431,4771562548.792033,148030920.68434167,2311300387.3085556,1574361734.9917789,84433603.88381031
21,1002195067.9612669,4990944734.943391,154836940.0261505,2311300387.3085556,1574361734.9917789,84433603.88381031
22,1046247598.4211029,5210326921.094749,161642959.36795932,2311300387.3085556,1574361734.9917789,84433603.88381031
23,1090300128.8809388,5429709107.246107,168448978.70976812,2311300387.3085556,1574361734.9917789,84433603.88381031
24,1134352659.340775,5649091293.397465,175254998.05157694,2311300387.3085556,1574361734.9917789,84433603.88381031
25,1178405189.8006105,5868473479.548823,182061017.39338577,2311300387.3085556,1574361734.9917789,84433603.88381031
26,1222457720.2604465,6087855665.700181,188867036.7351946,2311300387.3085556,1574361734.9917789,84433603.88381031
