week,pac,cr_box,baghouse,repurposed_pac,repurposed_cr_box,repurposed_baghouse
1,0.0,0.0,0.0,0.0,0.0,0.0
2,33039397.844876923,164536639.61351836,5104514.506356609,0.0,0.0,0.0
3,177419357.04905188,887306766.0844676,27443267.701782636,193187421.10469824,130005097.65256676,21108400.970952578
4,336692470.66048265,1669304236.9830992,52003272.74575508,386374842.2093965,260010195.30513352,42216801.941905156
5,403814474.865538,2019401011.9372687,62815870.7332646,579562263.3140948,390015292.9577004,63325202.91285773
6,485867957.9320471,2406034558.7955503,75939110.3066501,772749684.418793,520020390.61026704,84433603.88381031
7,574523936.4683505,2868749282.733721,91270319.48504928,965937105.5234914,650025488.2628338,84433603.88381031
8,682383887.0590173,3398944374.574148,107346220.23907323,1159124526.6281896,780030585.9154007,84433603.88381031
9,801651152.6663177,3980324084.29008,125312493.48334083,1352311947.7328877,910035683.5679674,84433603.88381031
10,929345210.1165504,4615782924.672604,145393202.02229005,1545499368.837586,1040040781.2205341,84433603.88381031
11,1052525504.8318894,5216278471.260908,164669785.14134094,1738686789.942284,1170045878.873101,84433603.88381031
12,1183883277.7200568,5844647077.9752655,184223342.46641785,1931874211.0469828,1300050976.5256677,84433603.88381031
13,1308282232.9646206,6487392992.868008,204539748.59801272,2125061632.1516807,1430056074.1782346,84433603.88381031
14,1434657726.5835893,7126909104.895956,224356119.22433785,2318249053.256379,1560061171.8308015,84433603.88381031
15,1559537829.049959,7762352075.620171,245244223.3568513,2318249053.256379,1560061171.8308015,84433603.88381031
16,1683007146.0335739,8420987156.347168,265170297.55403516,2318249053.256379,1560061171.8308015,84433603.88381031
17,1802078191.03228,9065404103.648514,284239680.0357331,2318249053.256379,1560061171.8308015,84433603.88381031
18,1925674431.620428,9700918464.638794,304286285.15022165,2318249053.256379,1560061171.8308015,84433603.88381031
19,2050138660.2884362,10318210440.063263,324493008.26833963,2318249053.256379,1560061171.8308015,84433603.88381031
20,2174852012.689259,10950004516.93564,344770958.28401554,2318249053.256379,1560061171.8308015,84433603.88381031
21,2299441705.7160606,11560168724.754501,365174006.6105883,2318249053.256379,1560061171.8308015,84433603.88381031
22,2420200858.922714,12179637565.306995,384524216.25250554,2318249053.256379,1560061171.8308015,84433603.88381031
23,2548029787.065989,12819829555.627026,405217020.2978565,2318249053.256379,1560061171.8308015,84433603.88381031
24,2675860806.944557,13437820003.697792,425112324.08616984,2318249053.256379,1560061171.8308015,84433603.88381031
25,2800031719.991665,14038992992.726727,445185009.36692166,2318249053.256379,1560061171.8308015,84433603.88381031
26,2921183445.980582,14656716704.861578,465171142.3025439,2318249053.256379,1560061171.8308015,84433603.88381031
