Country Code,GDP Year (PPP),"GDP per capita, PPP (current international $)",GDP Year (USD),GDP per capita (current US$)
CYM,2024,92201.086358256,2024,104292.900672109
CYP,2024,63006.765625,2024,38674.3125
CZE,2024,57625.0961715706,2024,31827.7552539413
DEU,2024,73957.0012170966,2024,56103.7323182554
DJI,2024,7821.62138070711,2024,3552.72335079222
DMA,2024,21331.6193698018,2024,10405.2787777582
DNK,2024,80937.8001363997,2024,71026.4832271897
DOM,2024,27581.6606581871,2024,10875.6618443092
DZA,2024,17646.332598878,2024,5752.99076651465
EAP,2024,23283.4130214757,2024,10391.1526101394
EAR,2024,13811.1555049488,2024,4405.28492630999
EAS,2024,27438.5129211192,2024,13482.4788785045
ECA,2024,29265.2526450133,2024,9801.70054676084
ECS,2024,52686.8964371402,2024,31630.8552937604
ECU,2024,15848.3400023446,2024,6826.5294137822
EGY,2024,19121.874936645,2024,3338.47371043679
EMU,2024,65966.8442234144,2024,46424.2413084574
ESP,2024,58063.7350840487,2024,35326.7683069278
EST,2024,50395.7686402966,2024,31428.3547816104
ETH,2024,3292.3093336937,2024,1133.88279681256
EUU,2024,63808.066483507,2024,43313.7668203916
FIN,2024,65137.1816928289,2024,53155.5451165897
FJI,2024,15472.737444718,2024,6425.74151715712
FRA,2024,62524.5434134804,2024,46103.0840855884
FRO,2024,82089.2832575392,2024,74175.2776311377
FSM,2024,4452.31995062055,2024,4251.69052668788
GAB,2024,21541.4112646776,2024,8230.04311451151
GBR,2024,62839.4679324927,2024,53341.3131094262
GEO,2024,27486.8762116648,2024,8967.67525638987
GHA,2024,8051.19381149848,2024,2419.2518672482
GIN,2024,4571.93087130821,2024,1694.95375862185
GMB,2024,3480.66001035486,2024,871.340287547821
GNB,2024,3093.46533465682,2024,998.376093392688
GNQ,2024,17072.4273818835,2024,7003.58055684906
GRC,2024,44170.9556658376,2024,24626.1481858973
GRD,2024,19903.184889337,2024,11528.9220811928
GRL,2023,78905.5801137274,2023,58498.9707973609
GTM,2024,14393.0528302577,2024,6150.89465281457
GUM,,,2022,41833.1517132825
GUY,2024,80271.4254322872,2024,29675.2501582835
HKG,2024,75341.6985534061,2024,54274.7547767073
HND,2024,7502.56902428309,2024,3415.96027916712
HPC,2024,3620.11674779792,2024,1220.84577070029
HRV,2024,49550.8073348367,2024,24049.9441746337
HTI,2024,3168.87908307377,2024,2060.35591768638
HUN,2024,48540.1614792293,2024,23305.4482514359
IBD,2024,21007.2920507601,2024,8186.57476056638
IBT,2024,16713.4152377213,2024,6304.3969997243
IDA,2024,5736.82650018978,2024,1487.2803211344
IDB,2024,7676.22430731754,2024,1658.96290902751
IDN,2024,16472.4825935409,2024,4925.43644992666
IDX,2024,4713.40465729198,2024,1395.67575971244
IMN,,,2023,90015.2074234398
IND,2024,10718.5934040662,2024,2591.9916607122
IRL,2024,140779.203379453,2024,112894.953240805
IRN,2024,19902.7484779621,2024,5190.16959024821
IRQ,2024,14485.3248937523,2024,6073.61032342708
ISL,2024,83561.4294628375,2024,85863.1479330343
ISR,2024,57277.8631217651,2024,54216.5218142787
ITA,2024,62292.9012423008,2024,40429.6224047352
JAM,2024,12908.9862451809,2024,7753.8119527678
JOR,2024,11916.3623210714,2024,5073.92103605892
JPN,2024,54156.2687689605,2024,33797.1014287876
KAZ,2024,40950.3167392792,2024,14154.6324958076
KEN,2024,6649.67919174449,2024,2133.46193404026
KGZ,2024,8208.03081858011,2024,2514.81066933171
KHM,2024,7981.50816402382,2024,2627.87969756224
KIR,2024,3728.03970809328,2024,2550.98377226188
KNA,2024,34897.2104637487,2024,23960.6534357084
KOR,2024,61051.3492502498,2024,36238.639908315
KWT,2024,53119.3783662664,2024,32855.7209688827
LAC,2024,22069.8710887458,2024,10065.5029056612
LAO,2024,9790.02538664409,2024,2123.97909415109
LBN,2024,11917.4502960889,2024,4473.27134441128
LBR,2024,1873.76133636244,2024,851.497723870206
LBY,2024,14324.5818697336,2024,6569.16408678648
LCA,2024,28116.7677870924,2024,14493.658470648
LCN,2024,23059.8669505445,2024,10705.1067802788
LDC,2024,4468.51455719252,2024,1299.44368873396
LIE,,,2024,220167.225473557
LKA,2024,15701.0907191253,2024,4545.36006870612
LMY,2024,15561.275392703,2024,5874.03080372303
LSO,2024,3070.79580931865,2024,1023.04227681523
LTE,2024,28387.5107480613,2024,12874.6436381177
LTU,2024,55699.3734421294,2024,29603.7772588256
LUX,2024,156079.3685607,2024,137781.681659123
LVA,2024,43873.3777849582,2024,23578.9663562625
MAC,2024,127144.298137913,2024,72004.7437020733
MAF,,,2021,21668.3776525323
MAR,2024,10430.2490234375,2024,4153.1943359375
MCO,,,2024,288001.574856495
MDA,2024,18661.6606470212,2024,7578.90216348853
MDG,2024,1888.66403175151,2024,550.37875528856
MDV,2024,26220.8078173473,2024,13379.3513577224
MEA,2024,16325.7848019477,2024,6275.43469598207
MEX,2024,25820.3527960242,2024,13988.0423745241
MHL,2024,8237.95897993999,2024,7590.28443592202
MIC,2024,17196.0137583471,2024,6507.45727213279
MKD,2024,26995.5213483235,2024,9291.8566035502
MLI,2024,3321.57614442921,2024,1093.2523323649
MLT,2024,70062.9017440762,2024,44023.6341078148
MMR,2024,6006.17514543646,2024,1359.05001560107
MNA,2024,11251.4824664853,2024,2963.06913716955
MNE,2024,34062.8241865953,2024,13270.1824401005
MNG,2024,19172.5295870282,2024,6750.6301157724
MNP,,,2022,23785.754590043
MOZ,2024,1708.3035966667,2024,656.976148587772
MRT,2024,7379.45422386145,2024,2104.54260769051
MUS,2024,31696.7381226145,2024,11990.9355434317
MWI,2024,1860.31534523381,2024,522.365366146003
MYS,2024,38835.6013146653,2024,11874.4273684245
NAC,2024,83936.752895039,2024,82808.120496409
NAM,2024,11697.9201596588,2024,4501.84849548225
NCL,,,2024,29213.1923192946
NER,2024,2044.04904937758,2024,729.856664168989
NGA,2024,9099.86943863676,2024,1084.16041805058
NIC,2024,8720.86923379042,2024,2847.87639497305
