Context,Job Zone,Code,Occupation
69,1-2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
69,1-2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
69,1-2,51-9198.00,Helpers--Production Workers
69,3,49-9071.00,"Maintenance and Repair Workers, General"
69,3,19-5012.00,Occupational Health and Safety Technicians
69,1-2,53-1042.01,Recycling Coordinators
68,1-2,51-2031.00,Engine and Other Machine Assemblers
68,1-2,49-9031.00,Home Appliance Repairers
68,3,49-9043.00,"Maintenance Workers, Machinery"
68,5,19-1013.00,Soil and Plant Scientists
68,1-2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
67,3,49-9092.00,Commercial Divers
67,5,25-9021.00,Farm and Home Management Educators
67,1-2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
67,3,47-4041.00,Hazardous Materials Removal Workers
67,1-2,53-7041.00,Hoist and Winch Operators
67,4,19-1031.03,Park Naturalists
67,1-2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
67,1-2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
66,3,33-2011.00,Firefighters
66,1-2,47-2082.00,Tapers
66,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
65,1-2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
65,1-2,45-3031.00,Fishing and Hunting Workers
65,1-2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
65,1-2,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
65,1-2,47-4051.00,Highway Maintenance Workers
65,1-2,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
65,1-2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
65,1-2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
65,1-2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
65,4,53-6051.00,Transportation Inspectors
64,3,47-4011.01,Energy Auditors
64,4,13-1041.01,Environmental Compliance Inspectors
64,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
64,3,11-3051.06,Hydroelectric Production Managers
64,1-2,45-4023.00,Log Graders and Scalers
64,4,19-5011.00,Occupational Health and Safety Specialists
64,1-2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
64,1-2,47-2211.00,Sheet Metal Workers
64,4,17-2199.11,Solar Energy Systems Engineers
63,1-2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
63,3,33-3021.00,Detectives and Criminal Investigators
63,3,33-2021.00,Fire Inspectors and Investigators
63,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
63,3,51-7032.00,"Patternmakers, Wood"
63,1-2,47-4099.03,Weatherization Installers and Technicians
63,1-2,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
62,1-2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
62,3,19-4092.00,Forensic Science Technicians
62,1-2,51-7021.00,Furniture Finishers
62,1-2,51-9022.00,"Grinding and Polishing Workers, Hand"
62,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
62,3,19-4012.01,Precision Agriculture Technicians
61,5,19-1011.00,Animal Scientists
61,5,29-9091.00,Athletic Trainers
61,3,33-3051.04,Customs and Border Protection Officers
61,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
61,1-2,51-8092.00,Gas Plant Operators
61,1-2,47-3012.00,Helpers--Carpenters
61,1-2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
61,3,17-3024.01,Robotics Technicians
61,3,49-9097.00,Signal and Track Switch Repairers
61,3,47-1011.03,Solar Energy Installation Managers
61,1-2,47-2221.00,Structural Iron and Steel Workers
60,1-2,51-2021.00,"Coil Winders, Tapers, and Finishers"
60,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
60,3,19-4013.00,Food Science Technicians
60,1-2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
60,1-2,51-9123.00,"Painting, Coating, and Decorating Workers"
60,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
60,1-2,53-7062.04,Recycling and Reclamation Workers
59,4,17-2021.00,Agricultural Engineers
59,1-2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
59,1-2,47-5041.00,Continuous Mining Machine Operators
59,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
59,4,33-3031.00,Fish and Game Wardens
59,1-2,51-3093.00,Food Cooking Machine Operators and Tenders
59,1-2,53-4011.00,Locomotive Engineers
59,3,33-3051.00,Police and Sheriff's Patrol Officers
59,1-2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
59,1-2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
59,1-2,51-9197.00,Tire Builders
58,1-2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
58,1-2,51-2051.00,Fiberglass Laminators and Fabricators
58,4,17-1022.01,Geodetic Surveyors
58,4,17-2121.00,Marine Engineers and Naval Architects
58,1-2,53-4031.00,Railroad Conductors and Yardmasters
58,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
57,3,53-2022.00,Airfield Operations Specialists
57,1-2,47-2061.00,Construction Laborers
57,1-2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
57,1-2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
57,1-2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
57,1-2,47-5012.00,"Rotary Drill Operators, Oil and Gas"
56,5,25-2059.01,Adapted Physical Education Specialists
56,1-2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
56,1-2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
56,1-2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
56,4,25-2057.00,"Special Education Teachers, Middle School"
56,1-2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
56,1-2,53-7073.00,Wellhead Pumpers
55,1-2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
55,4,19-1032.00,Foresters
55,4,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
55,1-2,37-2021.00,Pest Control Workers
55,1-2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
55,1-2,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
55,1-2,47-5013.00,"Service Unit Operators, Oil and Gas"
54,1-2,39-3091.00,Amusement and Recreation Attendants
54,1-2,39-2011.00,Animal Trainers
54,3,17-3027.01,Automotive Engineering Technicians
54,1-2,47-2081.00,Drywall and Ceiling Tile Installers
54,4,17-2081.00,Environmental Engineers
54,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
54,4,13-1081.01,Logistics Engineers
54,4,17-2112.03,Manufacturing Engineers
54,1-2,47-4091.00,Segmental Pavers
54,1-2,47-2053.00,Terrazzo Workers and Finishers
53,3,49-2091.00,Avionics Technicians
