Context,Job Zone,Code,Occupation
95,2,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
94,2,39-2021.00,Animal Caretakers
94,5,29-1129.01,Art Therapists
94,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
94,3,17-3027.01,Automotive Engineering Technicians
94,5,11-1011.03,Chief Sustainability Officers
94,3,15-1211.00,Computer Systems Analysts
94,3,27-2031.00,Dancers
94,4,15-1242.00,Database Administrators
94,5,29-1021.00,"Dentists, General"
94,3,43-9031.00,Desktop Publishers
94,5,19-1041.00,Epidemiologists
94,3,33-1011.00,First-Line Supervisors of Correctional Officers
94,2,51-3093.00,Food Cooking Machine Operators and Tenders
94,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
94,3,29-2035.00,Magnetic Resonance Imaging Technologists
94,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
94,4,29-2036.00,Medical Dosimetrists
94,2,41-9012.00,Models
94,5,29-1022.00,Oral and Maxillofacial Surgeons
94,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
94,4,43-9081.00,Proofreaders and Copy Markers
94,4,41-9021.00,Real Estate Brokers
94,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
94,5,25-1067.00,"Sociology Teachers, Postsecondary"
94,3,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
94,4,15-1255.01,Video Game Designers
93,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
93,2,39-6011.00,Baggage Porters and Bellhops
93,5,19-1029.04,Biologists
93,4,11-9199.02,Compliance Managers
93,4,15-1241.00,Computer Network Architects
93,3,33-3051.04,Customs and Border Protection Officers
93,2,51-9081.00,Dental Laboratory Technicians
93,3,29-2032.00,Diagnostic Medical Sonographers
93,3,29-2051.00,Dietetic Technicians
93,4,17-2071.00,Electrical Engineers
93,5,19-3011.01,Environmental Economists
93,5,25-1053.00,"Environmental Science Teachers, Postsecondary"
93,4,11-3031.00,Financial Managers
93,3,39-1022.00,First-Line Supervisors of Personal Service Workers
93,3,19-4092.00,Forensic Science Technicians
93,2,39-3012.00,Gambling and Sports Book Writers and Runners
93,5,19-1029.03,Geneticists
93,2,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
93,4,11-9199.08,Loss Prevention Managers
93,4,19-2032.00,Materials Scientists
93,5,25-1022.00,"Mathematical Science Teachers, Postsecondary"
93,4,17-2199.05,Mechatronics Engineers
93,3,49-9062.00,Medical Equipment Repairers
93,2,39-3021.00,Motion Picture Projectionists
93,5,29-1161.00,Nurse Midwives
93,5,29-1023.00,Orthodontists
93,5,25-1065.00,"Political Science Teachers, Postsecondary"
93,4,11-3051.01,Quality Control Systems Managers
93,4,21-1015.00,Rehabilitation Counselors
93,2,33-9093.00,Transportation Security Screeners
